No10_Canadian_Stationary_Hospital,Assistant_Director_of_Medical_Services,London<br>
No10_Canadian_Stationary_Hospital,A.M.C._Training_Depot_No.1,London_Ontario<br>
No10_Canadian_Stationary_Hospital,A.M.C._Training_Depot_No.1,London_Ontario<br>
No10_Canadian_Stationary_Hospital,A.M.C._Training_Depot_No.1,London_Ontario<br>
No10_Canadian_Stationary_Hospital,A.M.C._Training_Depot_No.1,London_Ontario<br>
No10_Canadian_Stationary_Hospital,Engineer_Training_Depot,Ottawa<br>
No10_Canadian_Stationary_Hospital,135th_Overseas_Battalion,London_Ontario<br>
No10_Canadian_Stationary_Hospital,91st_Overseas_Battalion<br>,
Shore_Hospital_Halifax,No10_Canadian_Stationary_Hospital<br>,
Canadian_Stationary_Hospital_StMartins_Plain,No10_Canadian_Stationary_Hospital<br>,
Canadian_School_of_Cookery,No10_Canadian_Stationary_Hospital<br>,
Granville_Canadian_Special_Hospital_Ramsgate,No10_Canadian_Stationary_Hospital<br>,
Canadian_Cavalry_Corps,No10-Canadian_Stationary_Hospital<br>,
Moore_Barracks_Canadian_Hospital,No10_Canadian_Stationary_Hospital<br>,
Shorncliffe_Military_Hospital,No10_Canadian_Stationary_Hospital<br>,
ADMS_Canadians_Folkestone,No10_Canadian_Stationary_Hospital<br>,
Pay_Office_London,No10_Canadian_Stationary_Hospital<br>,
Canadian_Mobile-Laboratory,Moore_Barracks_Hospital<br>,
Moore_Barracks_Canadian_Hospital,No10_Canadian_Stationary_Hospital<br>,
Canadian_Red_Cross_Special_Hospital,No10_Canadian_Stationary_Hospital<br>,
No10_Canadian_Stationary_Hospital,Moore_Barracks_Canadian_Hospital<br>,
Red_Cross_Convalescent_Hospital,No10_Canadian_Stationary_Hospital<br>,
Ontario_Military_Hospital_Orpington,No10_Canadian_Stationary_Hospital<br>,
No10_Canadian_Stationary_Hospital,Canadian_Cookery_School<br>,
Moore_Barracks_Canadian_Hospital,No10_Canadian_Stationary_Hospital<br>,
Chyngton_Camp,No10_Canadian_Stationary_Hospital<br>,
103rd_Battalion,No10_Canadian_Stationary_Hospital<br>,
No10_Canadian_Stationary_Hospital,Canadian_Red_Cross_Special_Hospital<br>,
No10_Canadian_Stationary_Hospital,Moore_Barracks_Canadian_Hospital<br>,
Moore_Barracks_Canadian_Hospital,No10_Canadian_Stationary_Hospital<br>,
No10_Canadian_Stationary_Hospital,CAMC_Training_Depot<br>,
Seaside_Convalescent_Hospital,No10_Canadian_Stationary_Hospital<br>,
Ravenscroft_Hospital,No10_Canadian_Stationary_Hospital<br>,
