Last,login:,Thu,Jun,14,16:18:15,on,ttys000
Laurens-MacBook-Pro:~,laurenrollit$,/Users/laurenrollit/Downloads/stanford-ner-2018-02-27/ner-gui.command,;,exit;
Loading,classifier,from,/Users/laurenrollit/Downloads/stanford-ner-2018-02-27/classifiers/english.all.3class.distsim.crf.ser.gz,...,done,[2.2,sec].
content,type:,text/rtf
new-document,No10_Canadian_Stationary_Hospital,Assistant_Director_of_Medical_Services,London<br>
new-document,No10_Canadian_Stationary_Hospital,A.M.C._Training_Depot_No.1,London_Ontario<br>
new-document,No10_Canadian_Stationary_Hospital,A.M.C._Training_Depot_No.1,London_Ontario<br>
new-document,No10_Canadian_Stationary_Hospital,A.M.C._Training_Depot_No.1,London_Ontario<br>
new-document,No10_Canadian_Stationary_Hospital,A.M.C._Training_Depot_No.1,London_Ontario<br>
new-document,No10_Canadian_Stationary_Hospital,Engineer_Training_Depot,Ottawa<br>
new-document,No10_Canadian_Stationary_Hospital,135th_Overseas_Battalion,London_Ontario<br>
new,document,No10_Canadian_Stationary_Hospital,91st_Overseas_Battalion<br>
new-document,Shore_Hospital_Halifax,No10_Canadian_Stationary_Hospital<br>
new-document,Canadian_Stationary_Hospital_StMartins_Plain,No10_Canadian_Stationary_Hospital<br>
new-document,Canadian_School_of_Cookery,No10_Canadian_Stationary_Hospital<br>
new-document,Granville_Canadian_Special_Hospital_Ramsgate,No10_Canadian_Stationary_Hospital<br>
new-document,Canadian_Cavalry_Corps,No10-Canadian_Stationary_Hospital<br>
new-document,Moore_Barracks_Canadian_Hospital,No10_Canadian_Stationary_Hospital<br>
new-document,Shorncliffe_Military_Hospital,No10_Canadian_Stationary_Hospital<br>
new-document,ADMS_Canadians_Folkestone,No10_Canadian_Stationary_Hospital<br>
new-document,Pay_Office_London,No10_Canadian_Stationary_Hospital<br>
new-document,Canadian_Mobile-Laboratory,Moore_Barracks_Hospital<br>
new-document,Moore_Barracks_Canadian_Hospital,No10_Canadian_Stationary_Hospital<br>
new-document,Canadian_Red_Cross_Special_Hospital,No10_Canadian_Stationary_Hospital<br>
new-document,No10_Canadian_Stationary_Hospital,Moore_Barracks_Canadian_Hospital<br>
new-document,Red_Cross_Convalescent_Hospital,No10_Canadian_Stationary_Hospital<br>
new-document,Ontario_Military_Hospital_Orpington,No10_Canadian_Stationary_Hospital<br>
new-document,No10_Canadian_Stationary_Hospital,Canadian_Cookery_School<br>
new-document,Moore_Barracks_Canadian_Hospital,No10_Canadian_Stationary_Hospital<br>
new-document,Chyngton_Camp,No10_Canadian_Stationary_Hospital<br>
new-document,103rd_Battalion,No10_Canadian_Stationary_Hospital<br>
new-document,No10_Canadian_Stationary_Hospital,Canadian_Red_Cross_Special_Hospital<br>
new-document,No10_Canadian_Stationary_Hospital,Moore_Barracks_Canadian_Hospital<br>
new-document,Moore_Barracks_Canadian_Hospital,No10_Canadian_Stationary_Hospital<br>
new-document,No10_Canadian_Stationary_Hospital,CAMC_Training_Depot<br>
new-document,Seaside_Convalescent_Hospital,No10_Canadian_Stationary_Hospital<br>
new-document,Ravenscroft_Hospital,No10_Canadian_Stationary_Hospital<br>
new-document,Canadian_Military_Hospital_Eastbourne,All_Saints_Hospital_Eastbourne<br>
new-document,Canadian_Military_Hospital_Eastbourne,No10_Canadian_Stationary_Hospital<br>
new-document,Canadian_Military_Hospital_Eastbourne,No10_Canadian_Stationary_Hospital<br>
new-document,No10_Canadian_Stationary_Hospital,Moore_Barracks_Canadian_Hospital<br>
new-document,No10_Canadian_Stationary_Hospital,Canadian_Convalescent_Hospital_Yearwood_Park<br>
new-document,No10_Canadian_Stationary_Hospital,No9_Canadian_Stationary_Hospital<br>
new-document,No10_Canadian_Stationary_Hospital,West_Cliff_Canadian_Hospital<br>
new-document,No10_Canadian_Stationary_Hospital,CAMC_Training_School<br>
new-document,6th_Reserve_Battalion,No10_Canadian_Stationary_Hospital<br>
new-document,CAMC_Training_School,No10_Canadian_Stationary_Hospital<br>
new-document,No10_Canadian_Stationary_Hospital,Canadian_Pay_Office<br>
new-document,No10_Canadian_Stationary_Hospital,Canadian_Military_Police<br>
new-document,No10_Canadian_Stationary_Hospital,DAMDS_Canadians<br>
new-document,No10_Canadian_Stationary_Hospital,Canadian_Army_Dental_Corps<br>
new-document,Daughters_of_the_Empire_Canadian_Red_Cross_Hospital_for_Officers,No10_Canadian_Stationary_Hospital<br>
new-document,No10_Canadian_Stationary_Hospital,Kings_Canadian_Red_Cross_Hospital<br>
new-document,No10_Canadian_Stationary_Hospital,CAMC_Depot<br>
new-document,No10_Canadian_Stationary_Hospital,DAMDS_Canadians<br>
new-document,Overseas,No10_Canadian_Stationary_Hospital
new-document,No10_Canadian_Stationary_Hospital,Eastern_Ontario_Regimental_Depot<br>
new-document,No10_Canadian_Stationary_Hospital,Canadian_Army_Dental_Corps<br>
new-document,CAMC_Depot,No10_Canadian_Stationary_Hospital<br>
new-document,Eastern_Ontario_Regimental_Depot,No10_Canadian_Stationary_Hospital<br>
new-document,No10_Canadian_Stationary_Hospital,CAMC_Depot<br>
new-document,No10_Canadian_Stationary_Hospital,CAMC_Depot<br>
new-document,No10_Canadian_Stationary_Hospital,DADMS<br>
new-document,Daughters_of_the_Empire_Red_Cross_Hospital_for_Officers,No10_Canadian_Stationary_Hospital<br>
new-document,No10_Canadian_Stationary_Hospital,CAMC_Depot<br>
new-document,Bramshott,No10_Canadian_Stationary_Hospital<br>
new-document,No10_Canadian_Stationary_Hospital,Canadian_Army_Dental_Corps<br>
new-document,CAMC_Depot,No10_Canadian_Stationary_Hospital<br>
new-document,No10_Canadian_Stationary_Hospital,Eastern_Ontario_Regimental_Depot<br>
new-document,No10_Canadian_Stationary_Hospital,BC_Regimental_Depot<br>
new-document,HMHS_Leticia,No10_Canadian_Stationary_Hospital<br>
new-document,No10_Canadian_Stationary_Hospital,CAMC_Depot<br>
new-document,No10_Canadian_Stationary_Hospital,CASC<br>
new-document,CAMC_Depot,No10_Canadian_Stationary_Hospital<br>
new-document,No10_Canadian_Stationary_Hospital,CAMC_Depot<br>
new-document,Eastern_Ontario_Regimental_Depot,No10_Canadian_Stationary_Hospital<br>
new-document,No10_Canadian_Stationary_Hospital,Eastern_Ontario_Regimental_Depot<br>
new-document,Littlecourt,Hawkswick<br>
new-document,CAMC_Depot,No10_Canadian_Stationary_Hospital<br>
new-document,No10_Canadian_Stationary_Hospital,CAMC_Depot<br>
new-document,No10_Canadian_Stationary_Hospital,Princess_Patricia_Canadian_Red_Cross_Special_Hospital<br>
new-document,Royal_Artillery_Cadet_School,No10_Canadian_Stationary_Hospital<br>
new-document,No10_Canadian_Stationary_Hospital,CAMC_Depot<br>
new-document,No10_Canadian_Stationary_Hospital,CAMC_Depot<br>
new-document,No10_Canadian_Stationary_Hospital,CAMC_Depot<br>
new-document,No10_Canadian_General_Hospital,Canadian_Military_Hospital_Basingstroke<br>
new-document,CAMC_Depot,No10_Canadian_Stationary_Hospital<br>
new-document,CAMC_Depot,No10_Canadian_Stationary_Hospital<br>
new-document,No10_Canadian_Stationary_Hospital,CAMC_Depot<br>
new-document,No10_Canadian_Stationary_Hospital,CAMC_Depot<br>
new-document,Summerdown_Convalescent_Camp,No10_Canadian_Stationary_Hospital<br>
new-document,No10_Canadian_Stationary_Hospital,West_Cliff_Canadian_Hospital<br>
new-document,DAMDS_Canadians,No10_Canadian_Stationary_Hospital<br>
new-document,No10_Canadian_Stationary_Hospital,CAMC_Depot<br>
new-document,CAMC_Depot,No10_Canadian_Stationary_Hospital<br>
new-document,No10_Canadian_Stationary_Hospital,CAMC_Depot<br>
new-document,No10_Canadian_Stationary_Hospital,CAMC_Depot<br>
new-document,Canadian_Military_Hospital_Eastbourne,No10_Canadian_Stationary_Hospital<br>
new-document,CAMC_Depot,No10_Canadian_Stationary_Hospital<br>
new-document,CAMC_Depot,No10_Canadian_Stationary_Hospital<br>
new-document,No10_Canadian_Stationary_Hospital,Canadian_Military_Hospital_Eastbourne<br>
new-document,Headquarters_Seaford,No10_Canadian_Stationary_Hospital<br>
new-document,No10_Canadian_Stationary_Hospital,CAMC_Depot<br>
new-document,No10_Canadian_Stationary_Hospital,Granville_Canadian_Special_Hospital<br>
new-document,No10_Canadian_Stationary_Hospital,CAMC_Depot<br>
new-document,No10_Canadian_Stationary_Hospital,Granville_Canadian_Special_Hospital<br>
new-document,No14_Canadian_General_Hospital,No10_Canadian_Stationary_Hospital<br>
new-document,No14_Canadian_General_Hospital,No10_Canadian_Stationary_Hospital<br>
new-document,No14_Canadian_General_Hospital,CAMC_Depot<br>
new-document,No14_Canadian_General_Hospital,CAMC_Depot<br>
new-document,Granville_Canadian_Special_Hospital,No14_Canadian_General_Hospital<br>
new-document,No14_Canadian_General_Hospital,CAMC_Depot<br>
new-document,No14_Canadian_General_Hospital,No10_Canadian_Stationary_Hospital<br>
new-document,No14_Canadian_General_Hospital,No10_Canadian_Stationary_Hospital<br>
new-document,No14_Canadian_General_Hospital,No10_Canadian_Stationary_Hospital<br>
new-document,No14_Canadian_General_Hospital,CAMC_Depot<br>
new-document,No14_Canadian_General_Hospital,DADMS_Shoreham<br>
new-document,DADMS_Seaford,No14_Canadian_General_Hospital<br>
new-document,No14_Canadian_General_Hospital,CAMC_Depot<br>
new-document,No14_Canadian_General_Hospital,CAMC_Depot<br>
new-document,Overseas,No14_Canadian_General_Hospital<br>
new-document,CAMC_Depot,No14_Canadian_General_Hospital<br>
new-document,No15_Canadian_General_Hospital,No14_Canadian_General_Hospital<br>
new-document,No12_Canadian_General_Hospital,No14_Canadian_General_Hospital<br>
new-document,CAMC_Depot,No14_Canadian_General_Hospital<br>
new-document,No5_Canadian_General_Hospital,No14_Canadian_General_Hospital<br>
new-document,No14_Canadian_General_Hospital,CAMC_Depot<br>
new-document,CAMC_Depot,No14_Canadian_General_Hospital<br>
new-document,CAMC_Depot,No14_Canadian_General_Hospital<br>
new-document,CAMC_Depot,No14_Canadian_General_Hospital<br>
new-document,Overseas,No14_Canadian_General_Hospital<br>
new-document,No14_Canadian_General_Hospital,CAMC_Depot<br>
new-document,No14_Canadian_General_Hospital,No16_Canadian_General_Hospital<br>
new-document,No14_Canadian_General_Hospital,DADMS_Seaford<br>
new-document,Granville_Canadian_Special_Hospital,No14_Canadian_General_Hospital<br>
new-document,No10_Canadian_Stationary_Hospital,No14_Canadian_General_Hospital<br>
new-document,No10_Canadian_Stationary_Hospital,No14_Canadian_General_Hospital<br>
new-document,No10_Canadian_Stationary_Hospital,No14_Canadian_General_Hospital<br>
new-document,No14_Canadian_General_Hospital,No10_Canadian_Stationary_Hospital<br>
new-document,No14_Canadian_General_Hospital,CAMC_Depot<br>
new-document,Overseas,No10_Canadian_Stationary_Hospital<br>
new-document,Basingstroke,No14_Canadian_General_Hospital<br>
new-document,No14_Canadian_General_Hospital,No10_Canadian_Stationary_Hospital<br>
new-document,No14_Canadian_General_Hospital,No10_Canadian_Stationary_Hospital<br>
